term;lda_vector
honda;0.0074218,-0.08,1.02,1.31,-0.44,0.70,-0.72,-0.49,-0.70,0.41,0.99,-0.50,-1.33,-0.27,0.47,-0.23,-0.84,1.37,-0.19,-1.87,-0.12,-0.31,-1.56,0.25,0.37,-0.29,0.24,-0.16,-0.67,-0.31,1.17,0.29,-0.15,1.01,1.03,-1.14,-0.10,0.44,-0.15,-0.60,-0.19,-0.45,0.69,-1.64,0.55,0.22,0.50,9.2278e-03,0.53,0.10
monument;0.27153,1.95,-0.01,-0.29,0.85,-0.66,-0.32,-0.30,-0.26,-0.74,-0.72,-0.46,0.60,-0.51,0.01,-0.24,0.51,0.15,-0.36,-0.02,-0.33,-1.00,-1.62,-1.42,0.36,-0.80,-1.34,0.40,-0.07,-0.58,1.18,-1.18,-0.67,-0.78,-0.61,0.44,1.06,-0.24,-0.28,0.35,-0.42,-0.79,0.22,-0.47,-0.35,0.39,-0.68,-1.11,-0.05,-1.24
newcastle;-0.028482,0.21,-0.49,-0.47,-0.44,-0.28,-1.32,0.68,-0.04,-7.0049e-03,0.21,0.74,-1.07,-1.52,-0.18,0.57,0.88,-0.33,-1.70,0.78,-0.06,0.36,0.02,0.53,-0.46,-0.72,1.31,0.23,-0.31,-0.19,1.50,0.71,0.84,0.05,0.83,0.59,0.51,0.04,0.49,-1.17,1.13,-0.08,-0.74,-0.32,4.4864e-03,1.23,-0.22,0.27,0.56,-0.59
exploration;0.91254,0.57,-0.23,1.27,-0.16,-0.08,-0.93,-0.29,0.96,0.59,0.65,0.67,0.28,0.51,-0.50,0.22,1.13,0.47,-0.86,0.01,1.42,0.73,-0.21,-1.39,0.47,-0.02,-0.19,-0.42,0.66,0.82,2.27,-0.84,-0.63,-0.17,-0.07,-0.36,-1.40,0.11,0.08,0.03,-0.28,-0.88,0.78,-0.21,-0.89,-0.63,0.09,0.99,-0.49,-0.25
ranch;0.95614,0.66,-0.42,0.32,0.23,-0.43,-2.10,-0.35,0.20,-0.56,-1.00,-0.38,0.74,-0.92,0.29,0.55,0.14,1.13,-0.07,0.37,-0.24,0.34,-0.58,0.32,-0.60,-0.67,0.02,0.75,0.62,-0.51,1.21,-0.80,-0.98,0.77,0.65,0.06,-0.63,-0.39,0.41,-0.18,-0.36,-0.10,-0.90,0.18,0.14,-0.32,-0.35,-1.07,-0.51,0.41
maritime;0.047541,-0.20,-1.43,0.95,-0.57,-0.69,-0.50,-0.27,1.12,-1.71,0.73,0.80,0.09,0.45,-0.95,-0.30,0.21,0.30,-1.04,0.35,0.62,0.32,-0.72,-0.38,-0.13,-0.97,0.17,-0.18,-0.04,0.35,2.02,-0.28,0.06,-0.60,-0.13,0.35,-0.57,-0.80,-0.38,1.13,-0.30,-0.34,1.91,-0.28,-0.56,-0.05,-0.13,1.06,0.31,-0.41
mcdonald;-0.25092,-0.26,-0.08,0.55,0.79,0.22,-1.25,-0.50,0.47,0.02,-0.37,0.19,-0.55,-0.44,0.61,0.24,0.14,-0.14,-0.36,-0.39,0.63,-0.01,-0.21,0.35,-0.66,-0.80,0.12,-0.09,-3.9527e-03,-0.62,1.08,0.09,0.68,0.33,0.04,-0.57,0.05,0.22,0.26,0.03,0.14,0.68,-0.48,-0.16,0.70,0.63,-0.85,-0.43,-0.22,1.04
arnold;0.38035,-0.25,0.08,-0.06,-0.15,0.14,-0.81,-0.42,-0.82,0.13,-0.70,0.51,-0.54,-0.06,0.97,-0.29,0.65,0.04,-0.48,-0.27,-0.35,0.43,-0.16,-0.21,0.53,-0.75,-0.02,-0.71,-1.16,0.08,0.69,-0.77,-0.65,-0.13,0.13,-0.07,0.17,0.78,0.61,-0.42,0.09,1.15,-0.45,-0.48,-0.02,0.70,-0.17,-0.63,-0.39,0.98
laura;0.24551,0.69,-0.18,0.42,0.41,0.62,-1.23,-0.32,0.52,-0.47,-0.41,0.22,-0.20,0.13,0.64,-0.18,-0.20,-0.51,0.42,0.11,-0.11,1.44,0.53,0.30,1.20,-0.80,0.47,0.10,-0.77,-0.74,0.58,-0.03,-0.09,-0.27,-0.49,-0.93,8.5032e-03,0.86,0.04,-0.60,0.45,0.56,0.34,-1.18,0.17,0.03,-0.36,-1.43,-0.22,1.45
frederick;0.088552,0.42,-0.20,-0.31,0.27,0.46,-0.16,0.19,-0.60,-1.34,-0.04,1.00,-0.61,-1.83,-0.19,0.33,-0.18,-0.31,-0.17,0.17,0.82,-0.32,-0.40,-0.71,0.37,-1.42,-0.42,-1.45,-0.58,0.35,0.34,-0.91,-0.05,-0.30,0.58,-0.34,0.12,0.90,0.20,1.08,0.27,0.67,-0.18,-0.52,0.10,0.10,-0.55,-1.79,-0.46,0.40
correspondent;-0.51805,0.83,0.29,0.38,0.09,-1.11,-0.86,0.29,0.47,-1.40,-0.11,-0.10,-0.84,0.51,0.48,-0.17,-0.62,-0.03,-0.26,1.08,0.92,1.77,0.87,0.77,0.24,-0.82,-0.52,0.15,-0.61,0.82,1.11,-0.46,1.20,-0.81,-0.97,0.39,-0.57,-0.22,0.19,0.62,1.12,1.22,0.13,-1.06,0.02,-0.56,-0.59,0.05,-0.26,0.65
merrill;0.61736,-0.27,0.68,0.34,0.47,0.17,-0.62,-0.22,-0.92,-0.29,-0.55,1.19,-0.84,-0.72,0.14,0.25,-0.02,-0.57,4.4192e-03,-0.39,1.04,-0.09,0.11,-0.97,-1.00,-0.52,0.27,-0.15,-0.95,-0.18,1.12,-0.59,1.53,-0.23,0.07,-1.14,-1.11,-0.44,1.35,-1.31,-0.12,-5.5762e-03,0.31,-0.13,0.25,-0.83,0.01,0.42,-0.20,1.38
civic;-0.11387,1.08,-0.38,0.17,0.06,0.45,-0.39,-0.76,-0.67,0.10,-0.11,-1.10,-0.15,0.15,-1.14,-0.66,-0.02,1.28,0.71,-0.74,0.07,0.37,-1.51,0.25,-0.63,-0.50,-0.35,-0.23,-0.54,0.22,1.87,1.18,-0.70,-1.31,-0.65,-0.40,0.02,-0.26,0.08,0.36,-0.25,-0.89,-0.58,-0.06,-0.17,0.49,-1.47,-5.8843e-03,0.38,0.24
reed;-0.33542,-0.06,0.02,0.37,-0.11,0.82,-1.10,-0.13,-0.19,-0.86,-0.40,0.73,-0.45,0.08,-0.17,0.01,0.31,-0.32,-0.21,-0.32,-0.05,0.33,0.01,-0.55,0.30,-0.59,0.35,-0.33,-0.43,-0.50,1.37,-0.69,0.36,-0.13,-0.38,-0.17,0.26,0.01,0.76,0.04,0.16,0.26,-0.57,0.35,0.20,0.25,-0.24,-0.50,-0.98,1.13
seal;-0.082868,-0.01,-0.35,0.11,0.83,0.13,-0.51,0.44,0.76,-0.68,0.50,0.25,0.53,0.74,-0.08,0.59,0.38,-0.80,-0.51,-0.11,0.16,-0.50,0.08,-0.74,-0.51,-1.08,-0.32,0.41,0.24,-0.90,1.65,-0.55,-0.94,0.24,-0.03,0.74,0.58,4.6623e-03,0.05,-0.80,0.34,-0.57,0.12,-0.25,0.08,0.20,0.14,-0.06,-0.05,-1.04
rifle;-1.5936,-0.77,0.92,-0.66,0.74,0.61,0.42,-0.55,0.66,-1.49,0.08,-1.50,-0.58,-0.25,-1.10,-0.47,-0.36,1.03,-1.91,-0.78,0.24,-0.32,-0.20,-0.19,-0.44,-1.93,-0.65,0.03,0.22,-0.45,0.91,-0.42,-0.43,0.09,0.60,0.75,1.10,0.51,-1.19,0.08,1.25,-0.40,-0.10,0.37,1.16,-0.73,0.38,-0.09,0.03,-0.39
eddie;-0.75298,0.17,0.11,0.47,0.07,0.35,-1.31,0.32,-0.61,0.49,0.28,1.14,-0.94,-0.31,0.47,-0.32,0.19,-0.23,-0.66,-0.87,-0.73,0.15,-0.38,0.51,0.21,-0.59,0.53,-0.29,-0.14,-0.38,1.00,0.30,0.21,0.31,0.69,-0.16,0.14,-0.60,0.32,-0.03,-0.10,1.51,-1.42,-0.49,-0.22,-0.25,0.04,-1.12,0.12,0.80
danny;-0.31355,0.42,0.35,0.42,0.29,0.22,-1.00,0.67,-0.34,0.24,-0.10,1.01,-0.82,0.62,0.43,0.10,1.43,-0.39,-0.35,0.38,-0.72,1.25,0.23,-0.24,0.21,-0.08,0.70,-0.25,-0.19,-0.57,1.16,-0.25,-0.19,-0.31,0.54,0.82,0.49,-0.30,1.23,-0.56,-0.09,0.93,-0.73,-0.97,0.04,0.02,-0.37,-0.70,0.31,0.85
diocese; 1.3106,0.33,-1.55,-0.74,0.48,0.22,-0.28,0.20,-0.26,-0.88,-0.07,4.8673e-03,0.13,-1.77,-0.07,-0.11,-1.20,-0.05,0.04,1.34,-0.77,-0.46,-0.65,1.05,-1.63,-1.27,0.79,0.35,-1.30,-0.79,1.15,-0.13,0.34,-1.18,-0.31,-0.54,0.11,-0.65,0.75,0.40,-0.04,-0.16,-0.58,0.89,-1.76,1.10,-0.88,-0.35,-0.57,-0.37
h;-0.22701,0.70,0.96,0.93,0.72,-0.13,1.10,-0.65,-0.33,0.02,0.41,0.33,-1.10,-0.64,-0.65,0.06,0.06,-0.28,-0.90,-0.12,0.11,-1.03,0.65,0.55,-0.59,0.04,-0.27,-0.46,0.23,-0.09,1.94,0.04,0.57,0.71,0.01,-1.01,0.89,-0.24,0.07,0.63,1.11,-0.59,-0.28,-0.06,0.24,0.32,0.05,-0.71,0.53,1.05
emirates;0.63647,0.64,-0.15,1.31,0.43,-1.33,-0.32,0.35,1.07,0.12,0.77,0.14,-0.25,0.05,0.12,0.90,0.01,-0.06,-0.76,1.40,0.18,-0.04,0.56,0.19,-0.97,-1.20,0.91,0.03,-0.17,0.54,1.34,1.12,0.13,1.18,0.19,-0.41,-0.10,0.58,-1.28,0.31,0.72,-0.20,0.55,-2.7993e-03,-0.05,0.64,-1.58,0.93,-0.26,-0.73
breakfast;0.33153,1.10,-1.01,-0.13,0.55,-0.42,-1.36,-0.12,0.06,-0.46,-1.26,0.01,1.01,0.69,0.52,0.22,-0.46,0.50,0.10,-0.71,1.41,0.65,0.94,1.00,-0.04,4.9995e-03,-3.0354e-03,0.76,0.16,0.20,2.00,1.10,-0.44,1.48,0.40,0.04,0.36,0.74,0.13,-0.05,0.36,0.44,-1.13,0.32,0.39,0.88,-0.78,-0.15,0.07,1.12
cycling;-0.38933,0.89,-1.05,1.17,-1.34,0.03,-0.42,-0.06,1.16,-0.35,1.21,-0.98,-1.46,-0.13,0.94,-0.35,0.36,0.56,-0.81,-1.25,-0.81,0.32,-0.35,1.36,-0.04,-0.78,-0.48,-0.14,-0.89,0.75,1.16,1.03,-1.09,0.05,-0.19,-0.58,-0.01,0.97,-0.43,0.03,0.25,-0.57,0.31,0.48,0.56,-0.57,0.41,-0.30,0.63,-0.66
azerbaijan;-0.61052,0.41,0.03,0.95,-0.18,0.07,0.23,0.93,-0.06,0.08,1.01,-1.17,0.59,-0.19,1.5989e-03,0.50,0.71,0.43,0.54,1.67,0.06,-0.75,0.54,0.44,-0.20,-1.29,0.10,0.35,0.12,0.16,1.28,0.14,-0.78,0.24,-0.54,0.19,-0.88,0.93,-0.14,0.87,-0.01,0.18,0.21,-1.27,-1.14,0.74,-0.97,1.21,-0.29,-1.77
lifestyle;-0.04451,0.63,-1.08,-0.23,-0.07,-0.11,-0.68,-1.58,0.19,0.44,-0.24,0.26,0.13,0.38,0.22,0.30,-0.36,-0.19,0.77,0.22,-0.21,0.62,-0.25,1.37,-0.37,-0.21,-1.11,-0.40,1.20,1.24,2.28,0.59,0.16,-0.09,-0.39,0.18,-0.65,0.24,-0.69,-0.10,0.12,-0.07,0.16,1.39,0.27,-0.16,-0.22,-0.72,0.88,1.42
premium;-0.058124,0.68,0.68,-0.15,0.02,0.31,-0.58,-1.04,0.41,1.00,0.10,0.01,0.65,-0.40,0.44,0.31,-0.39,0.63,-0.03,-1.32,0.85,-0.81,-0.19,0.53,-1.21,-0.30,-0.59,0.47,0.72,0.63,2.18,0.98,0.33,1.06,0.96,-0.83,-0.09,0.08,-0.08,-0.70,0.51,0.10,0.20,0.42,-1.01,-0.38,-0.31,0.69,0.52,0.83
bowling;-1.7811,-0.74,-1.03,0.25,0.14,-0.30,-0.05,-0.76,1.05,0.10,-0.50,0.15,-1.44,-0.20,-0.46,0.11,1.03,0.21,-1.25,-0.43,-0.30,1.04,0.41,0.46,0.22,-0.27,0.73,-0.38,0.15,0.25,2.01,0.43,0.43,0.44,1.30,0.85,0.69,0.84,-0.69,0.19,-0.38,0.55,-0.60,0.96,0.71,0.80,0.18,-0.52,0.93,0.24
comics;-0.57506,-0.16,-0.25,-0.01,0.02,0.69,-1.23,-1.44,-0.30,3.4889e-03,0.02,1.15,-0.79,0.47,0.78,-0.86,-0.04,0.64,-1.02,0.15,0.90,-0.21,0.65,1.07,-0.18,-0.15,-1.97,-0.65,0.22,0.02,1.11,-0.44,0.10,-0.67,-0.69,0.97,-0.80,-0.96,-1.16,-1.15,0.87,-0.11,-0.97,-0.62,-0.70,0.47,0.31,-0.07,-0.15,-0.25
amsterdam;0.58872,0.23,-0.86,-0.52,0.02,-1.13,-0.64,-0.33,-0.67,0.52,1.01,-0.48,-0.64,0.16,0.57,0.52,0.14,-0.45,-1.78,0.55,1.48,0.24,-0.76,0.86,-0.85,-0.80,0.16,0.33,-0.60,-0.40,0.85,0.15,0.09,-0.32,-0.10,-0.96,0.68,0.61,0.47,0.75,0.72,-0.13,1.23,-0.26,-0.38,0.46,-0.05,-0.49,0.49,-0.68
ghana;-0.27753,-0.14,-0.62,0.76,0.01,-0.52,-0.21,0.19,0.61,-0.31,0.91,-9.89e-03,0.12,-1.17,0.31,0.44,0.53,0.01,-0.12,0.37,-0.42,0.50,0.61,0.22,0.07,-0.39,0.73,-0.19,-1.04,0.21,1.19,1.27,-0.71,0.05,0.54,0.51,-0.78,0.31,0.01,-0.54,0.09,0.84,0.12,-1.69,-0.73,1.71,-0.09,0.48,0.01,-1.70
reactor; 1.0325,0.63,1.69,-0.04,-1.14,0.09,0.14,0.69,0.81,0.74,0.78,-0.44,2.2998e-03,1.02,-0.12,1.57,0.33,1.86,-0.33,0.44,1.18,-0.43,-0.16,-0.70,0.48,-1.15,0.81,0.78,0.89,0.83,1.72,-1.92,-0.86,0.21,0.49,-0.01,1.25,0.84,0.60,0.34,0.36,-1.62,0.48,-0.41,0.40,1.04,0.07,1.42,-0.95,-0.38
millennium;0.88734,0.50,-0.05,-0.02,0.07,-0.82,-0.17,-1.29,0.78,0.40,-0.50,-0.23,-0.84,-0.05,0.42,0.48,0.52,-0.24,-0.76,0.45,0.41,-0.23,-0.78,-0.08,0.39,-0.23,-0.92,-0.74,-0.46,0.08,1.58,0.56,-0.88,0.02,-0.18,-0.29,0.65,-0.30,-0.59,-0.36,-0.57,-0.91,-0.37,-0.16,0.14,1.40,0.49,-0.31,0.06,-0.46
mars; 1.9488,0.91,0.56,0.48,-0.26,-0.02,-0.96,-0.52,0.49,-0.03,0.66,0.54,-0.11,1.11,0.22,0.68,0.50,0.18,-1.88,-0.31,-0.22,0.45,0.79,-0.51,0.67,-0.14,-0.86,0.23,0.23,0.02,1.01,-0.55,-1.25,-0.64,-0.23,-0.68,-0.54,-0.13,-0.03,-0.32,0.12,-0.63,0.47,-0.24,-0.21,-0.16,0.95,-0.44,-0.50,-0.16
cloud;0.54407,0.92,0.50,0.46,-0.62,-0.35,-0.06,-0.32,0.67,4.9138e-03,0.36,0.18,0.16,0.65,-0.10,0.58,-0.30,0.20,-0.94,-0.93,-0.18,-0.29,0.25,-0.44,-0.06,-0.70,0.01,1.35,0.38,0.50,1.82,-0.47,-0.20,-1.30,-1.00,0.18,-0.63,-0.97,0.70,-0.51,0.26,0.05,-0.24,0.40,0.03,0.30,0.72,-0.54,-0.10,-0.93
dominican;-0.0016073,0.37,-0.73,0.32,-0.16,-1.00,-0.95,0.70,-0.26,0.46,1.19,-0.06,1.00,0.31,0.47,-1.09,-1.16,-0.42,0.31,0.37,-1.53,0.03,-0.61,0.10,-0.61,-0.91,0.54,-0.48,-0.28,-0.26,1.47,0.26,-0.67,0.10,0.06,-1.6756e-03,-0.63,-0.23,0.58,0.24,-0.76,0.55,1.17,-0.55,-0.42,0.49,-0.63,-0.75,-0.22,-1.08
ottawa;-1.1038,0.82,-0.44,0.32,-0.62,0.42,-1.55,0.48,-0.51,-0.64,0.30,-0.34,0.01,0.38,-0.56,-0.11,0.27,-0.63,-1.08,0.44,0.27,-0.15,-0.38,0.17,-0.49,-0.70,0.78,0.24,-0.14,-1.21,1.02,0.70,-0.12,-0.86,-0.13,-0.41,0.47,-0.18,0.84,0.67,-0.12,-0.36,0.34,-0.62,-0.79,0.95,-0.67,0.70,0.68,-0.18
harrison;-0.86197,0.50,7.9485e-03,-0.09,0.10,0.51,-1.00,0.06,-0.19,-0.16,-0.50,0.80,-0.69,-0.69,0.24,0.10,0.12,-0.12,-0.23,-0.07,0.17,0.62,-0.01,-0.36,0.52,-0.66,0.11,-0.43,-0.10,-0.60,0.94,-1.10,0.43,-0.54,0.72,-0.08,0.68,-0.12,-0.05,-0.01,-0.18,0.51,-0.59,-0.53,-0.09,0.30,-0.18,-1.00,-0.87,0.85
aaron;-1.0185,0.80,0.40,0.09,0.50,0.22,-1.06,-0.17,-0.06,0.55,-0.47,0.74,-0.91,-0.11,1.00,-0.01,0.91,-0.83,-0.25,0.72,-0.61,0.22,-0.59,-0.27,0.52,-0.64,1.11,-0.84,-0.01,-0.91,0.88,-0.78,0.60,0.15,0.23,0.27,0.78,-0.06,0.34,0.25,-0.14,0.82,-0.51,-0.07,0.43,0.32,-8.8602e-03,-0.85,-1.31,0.71
brad;-0.58623,-0.24,0.03,0.63,0.45,0.81,-1.98,-0.53,0.29,-0.47,-0.35,1.53,-1.16,1.05,-0.25,-0.13,1.14,-0.96,-0.94,0.14,-0.80,0.76,0.34,-0.13,0.53,-0.43,0.94,4.9097e-04,-0.37,-1.16,0.51,2.3493e-03,0.85,-0.23,0.38,-0.41,0.41,-0.16,0.08,-0.81,-0.55,0.35,0.01,-0.17,-0.29,0.27,-0.32,-0.67,0.42,1.23
venezuelan;-0.29607,-0.03,0.14,0.66,-0.08,-0.92,-0.49,0.33,-0.61,1.08,1.11,0.13,0.91,1.18,0.22,-1.06,-0.72,0.18,0.17,-0.20,-0.36,-0.15,-0.10,-0.38,-0.92,-1.43,0.60,0.18,-0.10,0.44,1.46,-0.17,-1.23,-0.12,-0.38,-0.32,-1.34,-0.42,-0.04,0.18,-0.36,0.99,0.67,-1.09,-0.20,-0.44,-0.94,0.51,0.15,-0.81
database;0.66826,-0.21,1.21,1.12,0.35,-0.36,-0.79,-1.33,1.54,-0.12,0.44,0.06,0.13,0.11,0.53,-0.36,-0.61,-0.13,0.91,-0.20,-0.25,-0.91,-0.43,0.83,-0.01,-0.37,-0.46,-0.46,-0.31,-0.74,2.11,-1.37,0.16,-1.52,-0.12,0.73,-0.29,-0.16,0.05,-0.51,0.94,-0.92,0.53,0.84,-0.37,-0.23,1.15,0.83,0.30,-0.22
queensland;-1.2753,-0.33,-0.90,0.56,-0.96,0.25,-0.88,0.45,0.67,-0.92,0.17,0.01,0.71,-0.86,-0.70,0.58,1.12,0.25,-1.62,0.44,0.13,-0.04,-0.11,0.44,0.06,-0.61,0.77,-0.27,-0.89,-0.03,1.40,0.16,0.63,-0.67,0.68,0.41,0.43,-0.43,0.11,-0.57,-0.48,0.20,-0.13,-0.26,-0.76,1.32,-0.67,-0.35,0.70,-0.53
mr;0.093528,0.62,-0.01,0.11,0.41,0.04,0.33,-0.12,-0.53,-0.16,0.08,1.56,-0.57,-0.74,0.37,0.80,0.25,0.08,0.30,-0.06,0.38,0.42,0.67,-0.23,0.60,-1.04,0.29,-0.12,-0.92,0.34,1.05,-0.24,-0.40,-0.07,0.17,-0.66,0.86,0.01,-0.10,-0.35,0.43,0.32,-0.84,-0.23,0.29,-0.46,-0.86,-0.69,0.81,0.76
tyson;-0.35401,-1.09,-0.18,1.36,0.35,-0.03,0.31,0.44,0.90,0.21,-0.35,-3.6043e-04,-0.73,-0.66,1.42,0.61,-0.33,5.2433e-03,-0.87,-0.43,-0.43,0.38,0.53,-0.55,-0.58,-1.77,0.49,0.05,0.24,-0.39,0.51,0.12,-0.23,0.27,-0.07,-0.50,0.13,0.67,0.06,-0.92,-9.0438e-03,0.77,-0.70,1.07,0.36,-0.28,-0.38,-1.00,-0.95,1.24
quest;0.55467,0.83,0.11,0.35,0.29,0.30,-0.36,0.13,1.05,0.71,-0.19,0.36,-0.85,0.09,0.07,-0.10,0.60,0.09,-0.33,0.11,-0.15,0.41,-0.62,-0.34,0.48,-1.14,-0.98,-0.87,0.71,0.29,1.43,0.34,-1.55,0.03,0.11,0.03,-0.89,-0.10,-0.54,-1.25,-3.8927e-03,-0.83,-0.57,-0.19,-0.15,0.17,0.74,-0.30,-0.36,-0.47
symphony;0.077228,1.05,-1.20,0.22,-0.20,-0.23,-0.36,1.11,-0.80,0.80,0.31,-0.14,0.19,1.27,-0.68,-0.87,-0.49,0.39,-1.20,0.31,0.70,-0.18,-0.54,0.40,0.01,0.03,-1.27,-0.37,-0.96,-1.10,1.87,-0.15,0.92,-0.37,-0.26,-0.49,1.47,0.36,0.89,0.79,-0.03,-0.52,-0.80,-0.67,-0.64,1.71,-0.09,-0.17,-1.40,1.35
consortium; 1.3819,-0.02,0.57,0.96,-0.34,0.61,-1.03,-0.50,0.44,0.33,0.86,0.07,-0.01,0.83,-0.97,0.03,0.86,0.67,-0.42,0.16,0.97,-0.10,-0.56,0.05,-0.87,-0.54,0.33,-0.73,-1.78,-0.08,1.89,-0.12,-0.39,0.32,-0.05,-0.75,-0.68,0.19,0.22,-0.42,0.78,-0.72,0.68,-0.17,-0.40,0.14,-0.64,1.33,-0.26,-0.37
copenhagen;0.75148,0.64,-0.75,-0.58,-0.12,-0.08,-0.35,-0.16,-0.27,-0.16,0.28,-1.14,-0.66,0.10,0.62,1.14,1.04,-0.08,-0.84,0.65,1.46,0.22,-0.34,0.76,-0.02,-0.57,0.24,0.64,-0.86,-0.16,0.86,0.62,-0.78,-0.30,-0.17,-0.88,0.76,0.70,0.21,0.52,0.14,-0.68,0.50,-0.99,-0.05,0.86,0.10,0.73,0.31,-0.46
ethiopian;0.18577,-0.71,0.19,-0.05,-0.02,-0.48,-0.58,-0.11,0.21,-1.00,0.79,-1.04,-0.18,-0.62,-1.5834e-04,-0.08,-0.20,0.37,-0.03,0.82,-0.88,0.97,-0.13,0.18,0.64,-0.88,-0.09,-0.83,-0.66,1.19,1.47,0.20,-1.27,1.59,-0.09,0.27,-0.45,-0.09,-0.94,1.18,0.32,0.30,0.04,0.08,0.45,-0.22,-0.64,0.88,-0.43,-1.93
inspiration;0.29333,1.02,-0.68,-0.42,0.65,0.24,-0.46,-0.22,-0.31,1.17,-0.17,0.58,-0.19,-0.36,-0.03,-0.58,0.42,-0.23,-0.05,-0.19,2.6421e-03,0.62,-0.38,-0.09,0.89,-0.70,-1.35,-0.60,0.25,-0.09,1.89,0.08,-0.06,-0.70,-0.14,0.39,-0.48,0.01,-0.43,-0.24,0.77,0.32,-0.71,-0.32,0.17,0.26,0.36,-0.20,-0.37,-0.23
u;-0.25676,0.85,1.10,0.95,0.36,-1.30,1.07,-0.18,-0.67,0.37,-0.02,0.51,-0.19,-0.41,-0.71,0.12,-0.42,0.61,0.41,0.27,-0.48,-0.32,0.67,0.15,0.35,-0.29,-0.80,-0.15,0.01,-0.58,2.13,-0.15,-0.57,1.45,0.61,-0.68,1.28,-0.54,-0.35,0.57,0.35,-0.37,-0.74,-0.07,-0.48,0.06,-0.03,-0.22,0.09,0.55
montana;-0.76767,0.33,-0.08,0.37,-0.61,0.52,-1.70,0.39,0.33,-0.78,-0.39,-0.58,0.92,-0.29,-0.01,0.20,0.68,0.42,-0.74,-1.1218e-03,-0.56,-0.29,0.14,0.33,-0.31,-1.31,-0.63,0.31,0.27,-0.71,0.58,-0.40,-0.87,-0.51,0.73,-0.30,-0.69,-0.20,0.82,0.18,-0.82,0.77,-0.13,-0.28,-1.08,0.64,-0.08,-0.20,-0.60,0.34
stockholm;0.081527,1.07,-0.52,0.34,-0.18,-0.20,1.1813e-03,0.75,-0.29,-0.12,0.93,-1.62,-0.33,0.10,1.06,0.83,-0.12,0.09,-0.95,0.73,1.95,0.29,-0.66,1.05,-9.3834e-03,-0.85,-0.67,0.06,-0.92,-0.18,0.99,0.52,0.34,-0.20,-0.37,-0.73,0.72,0.68,1.01,1.20,0.18,0.13,0.67,-0.66,-0.43,0.54,-0.17,0.15,0.29,-0.72
leeds;-0.37251,0.37,-0.40,-0.77,-0.21,0.15,-0.81,0.35,-0.46,-0.09,-0.11,0.31,-1.43,-1.37,-0.20,0.55,1.18,0.03,-1.40,0.75,0.56,0.38,-0.31,0.98,-0.69,-0.53,1.32,0.05,-0.72,-0.36,1.32,0.78,0.88,-0.42,0.67,0.59,0.99,-0.10,0.43,-1.07,0.81,-0.40,-0.96,-0.23,3.1463e-03,0.81,-0.19,-0.05,0.48,-0.52
basin; 1.068,0.81,-0.58,0.89,-1.12,-0.18,-0.33,0.11,0.97,-0.69,4.5373e-03,0.31,1.20,0.03,-0.99,0.43,1.49,0.38,-0.73,0.34,-0.26,-0.91,0.73,-0.39,0.40,-0.10,-0.11,1.05,-0.46,-0.04,2.11,-1.09,0.30,0.20,-7.3902e-03,-0.09,-1.11,0.07,1.47,0.76,-0.97,0.28,0.42,-0.08,-1.74,0.41,0.44,-0.53,-0.14,-1.19
warsaw;-0.17194,0.96,-0.01,-0.82,0.01,-0.14,0.75,0.76,-1.12,-1.04,0.51,-1.47,-0.36,-0.20,0.19,0.47,0.09,0.42,-0.44,1.13,1.43,-0.50,-0.71,0.36,-0.35,-1.34,-0.09,0.12,-0.26,-0.08,0.91,0.32,0.05,-0.76,-1.37,-0.08,0.23,0.74,0.10,0.91,0.49,-0.06,0.55,-1.25,-0.45,0.60,-0.44,-0.11,-0.99,-0.52
mini;0.13679,0.17,0.03,0.72,-0.92,-0.12,-0.48,-0.96,-0.06,0.01,-0.21,-0.37,-0.48,0.92,0.33,0.38,-0.41,0.78,0.12,-0.42,0.56,-0.15,-0.30,0.70,-0.56,-0.30,-0.88,0.17,0.24,-0.23,1.89,0.28,-0.82,1.47,0.68,0.56,0.08,0.01,-0.87,-0.28,-0.01,-0.02,-0.12,-0.36,0.26,0.32,0.53,-0.24,-0.22,-0.41
mumbai;0.56393,-0.67,-0.16,0.48,0.13,-0.52,0.42,-0.11,0.11,0.33,-0.34,-0.51,-0.87,-0.16,-0.29,0.54,-0.19,0.77,-1.20,1.68,1.88,1.02,-0.14,1.27,0.01,-1.11,-0.16,-0.39,-0.65,-0.47,1.25,0.49,0.93,-0.27,1.02,0.02,0.13,-0.99,-0.29,0.66,-1.07,-0.08,0.20,-0.11,0.30,0.44,0.09,0.14,1.52,-1.01
yale;-1.2565,1.07,-0.49,-1.07,-0.15,-0.08,-0.79,-0.47,-0.68,-0.08,-0.27,0.21,-2.9666e-03,-0.35,-0.12,-0.15,-0.45,0.67,-0.49,1.06,0.53,0.57,0.18,-0.41,-0.14,-1.70,-0.08,-0.41,-1.36,-0.73,0.69,-0.47,-0.05,-1.39,0.02,0.02,-0.21,0.90,1.36,-0.48,-0.11,-0.52,-0.02,0.71,0.04,0.14,0.55,0.21,-0.78,0.33
